Pivot model name,Pivot model threshold,Pivot model mean,Other model name,Other model threshold,Other model mean,p-value
yolo11n,0.1,0.9005160606060606,yolo11n,0.1,0.9005160606060606,1.0
yolo11n,0.1,0.9005160606060606,yolo11n,0.4,0.8615338611111112,0.13956906564539745
yolo11n,0.1,0.9005160606060606,yolo11n,0.2,0.8862201666666667,0.6766659743526438
yolo11n,0.1,0.9005160606060606,yolo11n,0.3,0.8710742083333333,0.2555846160278239
yolo11n,0.1,0.9005160606060606,yolo11n,0.5,0.8306307142857141,0.033821522780542006
yolo11n,0.1,0.9005160606060606,yolo11n,0.6,0.8086953571428571,0.00908242666764077
yolo11n,0.1,0.9005160606060606,yolo11n,0.7,0.7661263571428572,0.0007580239933292277
yolo11n,0.1,0.9005160606060606,yolo11n,0.8,0.7070716071428571,0.00017861448837368162
yolo11n,0.1,0.9005160606060606,yolo11n,0.9,0.5868609090909093,0.00017761066068896375
