Pivot model name,Pivot model threshold,Pivot model mean,Other model name,Other model threshold,Other model mean,p-value
yolo11m,0.4,0.8434370178571429,yolo11n,0.3,0.8710742083333333,0.3844942826161789
yolo11m,0.4,0.8434370178571429,yolo11n,0.4,0.8615338611111112,0.570605503511469
yolo11m,0.4,0.8434370178571429,yolo11n,0.6,0.8086953571428571,0.34361340325707423
yolo11m,0.4,0.8434370178571429,yolo11n,0.5,0.8306307142857141,0.879514088297801
yolo11m,0.4,0.8434370178571429,yolo11n,0.7,0.7661263571428572,0.0581168755696959
yolo11m,0.4,0.8434370178571429,yolo11n,0.8,0.7070716071428571,0.0019018195656474504
yolo11m,0.4,0.8434370178571429,yolo11n,0.9,0.5868609090909093,0.00017761066068896375
yolo11m,0.4,0.8434370178571429,yolo11s,0.3,0.8627824047619048,0.570605503511469
yolo11m,0.4,0.8434370178571429,yolo11s,0.4,0.8491084285714285,0.7911065051576629
yolo11m,0.4,0.8434370178571429,yolo11s,0.6,0.7600978035714286,0.11173494902986826
yolo11m,0.4,0.8434370178571429,yolo11s,0.5,0.820499261904762,0.5447441364957561
yolo11m,0.4,0.8434370178571429,yolo11s,0.7,0.6453274999999999,0.005058770636928006
yolo11m,0.4,0.8434370178571429,yolo11s,0.8,0.5389054545454546,0.0006572755412480706
yolo11m,0.4,0.8434370178571429,yolo11s,0.9,0.180655,0.00013092946782056853
