Pivot model name,Pivot model threshold,Pivot model mean,Other model name,Other model threshold,Other model mean,p-value
yolo11n,0.4,0.8615338611111112,yolo11s,0.3,0.8627824047619048,0.8796944322344019
yolo11n,0.4,0.8615338611111112,yolo11s,0.4,0.8491084285714285,0.7911833481406884
yolo11n,0.4,0.8615338611111112,yolo11s,0.6,0.7600978035714286,0.034226150579334216
yolo11n,0.4,0.8615338611111112,yolo11s,0.5,0.820499261904762,0.36380450713550716
yolo11n,0.4,0.8615338611111112,yolo11s,0.7,0.6453274999999999,0.0010035563801035307
yolo11n,0.4,0.8615338611111112,yolo11s,0.8,0.5389054545454546,0.0003264344499015525
yolo11n,0.4,0.8615338611111112,yolo11s,0.9,0.180655,0.00013172960306213278
yolo11n,0.4,0.8615338611111112,yolo11m,0.3,0.8794939457070707,0.4961297149428171
yolo11n,0.4,0.8615338611111112,yolo11m,0.4,0.8434370178571429,0.570605503511469
yolo11n,0.4,0.8615338611111112,yolo11m,0.6,0.805502873015873,0.3067609561706547
yolo11n,0.4,0.8615338611111112,yolo11m,0.5,0.8162478373015872,0.18587673236587576
yolo11n,0.4,0.8615338611111112,yolo11m,0.7,0.6748288831168832,0.028246621314386145
yolo11n,0.4,0.8615338611111112,yolo11m,0.8,0.47438625000000006,0.0014621772373193515
yolo11n,0.4,0.8615338611111112,yolo11m,0.9,0.13999999999999999,0.0005865602977483269
