Pivot model name,Pivot model threshold,Pivot model mean,Other model name,Other model threshold,Other model mean,p-value
yolo11n,0.1,0.7193536583860105,yolo11n,0.1,0.7193536583860105,1.0
yolo11n,0.1,0.7193536583860105,yolo11n,0.4,0.6901673756455944,0.04515456962427901
yolo11n,0.1,0.7193536583860105,yolo11n,0.2,0.7165156020829266,0.7337299956962472
yolo11n,0.1,0.7193536583860105,yolo11n,0.3,0.7094570739929422,0.3846730627355087
yolo11n,0.1,0.7193536583860105,yolo11n,0.5,0.6691872097454721,0.014019277113959953
yolo11n,0.1,0.7193536583860105,yolo11n,0.6,0.6121434395759431,0.0010079762403767444
yolo11n,0.1,0.7193536583860105,yolo11n,0.7,0.5478566336866523,0.00018267179110955002
yolo11n,0.1,0.7193536583860105,yolo11n,0.8,0.4036743644012238,0.000181651146091465
yolo11n,0.1,0.7193536583860105,yolo11n,0.9,0.1014526168224299,0.00011067076459386204
